13586176641	19	105	part1
13515628282	14	34	part2
13556061672	2	54	part3
13501552220	4	141	part4
13529285869	19	120	part3
13589457102	18	36	part2
13506316241	14	141	part3
13590239176	19	118	part3
13533819557	14	12	part3
13539026233	13	63	part1
13579111555	19	81	part4
13582254837	15	27	part3
13540575593	5	35	part2
13500453017	17	113	part3
13547963967	6	130	part4
13522096872	15	120	part2
13590731547	11	29	part2
13551033808	6	105	part4
13589123622	9	68	part2
13506944526	8	124	part4
13569960917	0	41	part3
13525941682	0	88	part2
13522871178	2	70	part2
13547113561	14	142	part4
13526235277	17	14	part1
13551975827	0	116	part4
13552853798	19	54	part3
13587856257	11	98	part3
13528647176	7	108	part3
13569360276	13	114	part2
13584079924	13	44	part2
13540851083	14	16	part4
13545722752	14	7	part1
13524418233	17	130	part2
13538779369	16	85	part4
13504138643	2	127	part4
13546924127	8	5	part1
13542502728	13	56	part1
13517423020	3	4	part3
13589531226	14	147	part3
13586650203	4	138	part3
13508453890	12	47	part3
13598242919	2	147	part3
13577499120	10	69	part2
13518170580	0	90	part2
13571700036	11	106	part2
13553595396	8	9	part2
13548660454	14	147	part1
13508827695	18	52	part2
13598651622	7	61	part2
13516587648	13	29	part3
13589225257	14	145	part2
13501761782	10	63	part1
13568985622	6	75	part3
13524963319	16	125	part4
13520070484	13	14	part4
13527527882	0	33	part2
13516762286	0	6	part1
13544371144	12	142	part3
13536713117	14	16	part1
13599033530	10	117	part2
13512852967	0	68	part4
13500933948	3	99	part4
13509372482	6	3	part3
13541048401	8	91	part3
13584763624	19	53	part3
13505104467	8	131	part1
13508561863	17	121	part1
13502006972	9	15	part1
13523432059	0	131	part3
13588664230	18	13	part4
13565901557	6	100	part4
13570297425	2	15	part3
13512457479	10	85	part1
13559676771	14	90	part4
13581412866	18	132	part2
13565022828	15	10	part1
13599158560	1	43	part1
13562917360	18	33	part4
13559376946	18	84	part4
13570792969	8	138	part4
13577875787	13	96	part4
13545404205	14	132	part2
13533480421	2	115	part1
13597474185	5	113	part4
13500737370	13	20	part2
13508100722	6	76	part1
